name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
thyssenkrupp ag,steel,xtra,essen,germany,98624,lopez borrego miguel,keysberg klaus,45.0,agfa-gevaert nv,arch resources inc.,bozhon precision industry technology co.ltd,cavotec sa,constellium se,danieli & c. officine meccaniche s.p.a.,esi group sa,isgec heavy engineering limited,jtl industries limited,keyang electric machinery co. ltd.,eurogroup laminations s.p.a.,gujarat alkalies and chemicals limited,prism johnson limited,pt hexindo adiperkasa tbk,thyssenkrupp nucera ag & co. kgaa,thyssenkrupp nucera ag & co. kgaa,vertical topco ii s.a.,,,,,kerner jurgen ,wurz isolde ,volpert verena ,remmler peter ,jacquemin tanja ,nasikkol tekin ,hass achim ,gather ursula ,sievers dirk 
polski koncern naftowy orlen sa,oil and gas refining and marketing,wse,plock,poland,35424,obajtek daniel,szewczak jan,,ab industry s a,ab orlen lietuva,anwil sa,bank handlowy w warszawie s.a.,bank polska kasa opieki s.a.,european investment bank,exxonmobil sales and supply llc,kbr inc.,lyondellbasell industries n.v.,orlen asphalt sp z o.o.,ab orlen lietuva,air bp aramco poland sp. z o.o.,air bp aramco poland sp. z o.o.,alstom sa,anwil sa,ciech s.a.,grupa azoty zaklady chemiczne police s.a.,orlen asphalt sp z o.o.,orlen centrum serwisowe sp. z o.o.,orlen koltrans sp. z o.o.,,szumanski andrzej ,wjcik anna ,kapala andrzej ,lesisz jadwiga ,jarzembowska barbara ,klimaszewski michal ,sakowicz-kacz anna ,kusz roman ,goss janina 
nibe industrier ab,building products,om,markaryd,sweden,21300,lindquist gerteric,backman hans,,oem international ab (publ),,,,,,,,,,,,,,,,,,,,linnarson hans emanuel,lindquist gerteric ,palsson anders ,larsson jenny ,karlsson eva ,thunholm eva ,,,,
banco de sabadell sa,diversified banks,bme,alicante,spain,19405,wittgenstein cesar gonzalez-bueno,trenor leopoldo,60.0,alia tasaciones sa,amundi s.a.,cbre valuation advisory sl,chubb limited,deg-deutsche investitions- und entwicklungsgesellschaft mbh,eurovaloraciones s.a.,ibertasa s.a.,instituto de valoraciones s.a.,krata sa,meridiano s.a cía. española de seguros entidad unipersonal,abertis infraestructuras s.a.,acerinox s.a.,acs actividades de construcción y servicios s.a.,adif alta velocidad,aedas homes s.a.,aena s.m.e. s.a.,altarea sca,altareit sca,brembo s.p.a.,contugas s.a.c.,,wittgenstein cesar gonzalez-bueno mayer,fontana garcía pedro ,figueras david vegara,martínez martínez josé manuel,valls morato manuel ,johnston george donald ,torrens mireia gine,beato maria jose garcia,martinez guzman david manuel
flutter entertainment plc,casinos and gaming,lse,dublin,ireland,22000,jackson jeremy,edgecliffe-johnson paul,50.0,aib group (uk) p.l.c.,aib group plc,fantasma games ab (publ),gambling.com group limited,gaming realms plc,genius sports limited,inspired entertainment inc.,link registrars limited,playtech plc,ras technology holdings limited,,,,,,,,,,,,jackson jeremy peter,edgecliffe-johnson paul russell,hurley alfred f.,lazzarato david a.,koeppel holly keller,cruickshank nancy ,turner mary louise,flint richard charles,dubuc nancy 
societe generale sa,diversified banks,enxtpa,paris,france,115466,krupa slawomir,dumas claire,75.0,ald france,ald s.a.,ald s.a.,alteryx inc.,amundi s.a.,bilendi sa,caisse de refinancement de l'habitat,euronext n.v.,icade,infotel sa,ab sagax (publ),abertis infraestructuras s.a.,abivax société anonyme,abraxas petroleum corporation,adnoc drilling company p.j.s.c.,adobe inc.,affluent medical sa,air france-klm sa,air lease corporation,alaska communications systems group inc.,,krupa slawomir ,schaapveld alexandra elisabeth johanna maria,connelly william l. a.,contamine jerome ,poupart-lafarge henri ,levy jean-bernard ,houssaye france ,rochet lubomira ,cote diane fabienne marie
amadeus it group sa,"hotels, resorts and cruise lines",bme,madrid,spain,17805,maroto camino luis,streichert till,60.0,air canada,american airlines group inc.,china eastern airlines corporation limited,copa holdings s.a.,couchbase inc.,european investment bank,infibeam avenues limited,latam airlines group s.a.,lnrs data services inc.,rategain travel technologies limited,aerovias de mexico s.a. de c.v.,aimbridge hospitality llc,air canada,air europa líneas aéreas s.a.u.,air india limited,allegiant air llc,ana holdings inc.,arajet holdings limited,avis budget group inc.,azul s.a.,,maroto camino luis ,gemkow stephan ,mesler amanda ,garcía ceballos zúñiga pilar ,kürpick peter ,clever xiaoqun ,eggers jana ,soderstrom eriikka ,figueras david vegara
schroders plc,asset management and custody banks,lse,london,united kingdom,6434,harrison peter,oldfield richard,,avepoint inc.,computershare investor services plc,dianomi plc,skillcast group plc,,,,,,,centrica plc,society of lloyd's,,,,,,,,,corley dame elizabeth pauline lucy,harrison peter ,oldfield richard ,keers richard john,davies rhian ,westerman matthew ,king ian graham,goss-custard rakhi ,waterhouse deborah jayne,emma schroder leonie kira
cd projekt sa,interactive home entertainment,wse,warsaw,poland,1297,kicinski adam,nielubowicz piotr,,,,,,,,,,,,apple inc.,bandai namco entertainment europe s.a.s.,electronic arts inc.,sony interactive entertainment llc,warner bros. home entertainment inc.,,,,,,iwinski marcin piotr,szwarc katarzyna ,nielubowicz maciej ,bien michal ,wejchert lukasz jan,,,,,
adevinta asa,interactive media and services,ob,oslo,norway,5700,jouteau antoine,collinet alexandre,40.0,bnp paribas fortis sa/nv,dnb bank asa,ebay group services gmbh,j.p. morgan securities plc,schibsted asa,,,,,,adevinta france,bom negócio atividades de internet ltda.,lbc france sas,,,,,,,,noonan orla ,hernandez fernando abril-martorell,javary sophie ,rosinski aleksander ,nilles michael ,jaekel julia ,simpson julie ,,,
moncler spa,apparel accessories and luxury goods,bit,milan,italy,6440,ruffini remo,,,hang lung group limited,la rotonda srl,moncler france,rivetex s.r.l.,rivetex s.r.l.,simon property group inc.,swire properties limited,sydney airport limited,yagi tsusho limited,,industries s.p.a.,inter parfums inc.,la rotonda srl,myt netherlands parent b.v.,sportswear company s.p.a.,yagi tsusho limited,,,,,ruffini remo ,de benedetti marco diego,eggs roberto ,santel luciano ,di genola e suniglia gabriele galateri,moriani diva ,losi riccardo ,gritti alessandra ,pianaroli guido ,rivetti carlo 
norsk hydro asa,aluminum,ob,oslo,norway,32014,aasheim hilde,kildemo pal,60.0,laserbond limited,new fortress energy inc.,statkraft as,,,,,,,,equinor asa,mercedes-benz group ag,worthington industries inc.,,,,,,,,mejdell dag ,bjerke rune ,wiinholt marianne ,moxnes bjorn petter,baade arve ,kukielski peter gerald jan,einarsson petra ,kragseth kristin fejerskov,new philip graham,sundve margunn 
wizz air holdings plc,passenger airlines,lse,saint helier,jersey,7389,váradi józsef,malin ian,,airbus s.a.s.,computershare investor services (jersey) limited,gocrisis limited,pratt & whitney company inc.,toscana aeroporti s.p.a.,worldline sa,,,,,,,,,,,,,,,franke william augustus,váradi józsef ,johnson stephen l.,eccleston barry ,pedersen charlotte ,andsager charlotte ,de lome chavarri enrique dupuy,broderick andrew s.,radev anthony ,gatti anna 
sartorius ag,life sciences tools and services,xtra,göttingen,germany,15048,kreuzburg joachim,lehmann rainer,60.0,908 devices inc.,bnp paribas fortis sa,unifiedpost group sa,,,,,,,,absci corporation,eirgenix inc.,sartorius stedim biotech s.a.,,,,,,,,kappich lothar ,zaffke manfred ,kirchhoff petra ,trutzschler klaus rudiger,becker annette ,favoccia daniela ,panzer ilke hildegard,ebsworth david raymond,muller dietmar ,ritzau hermann jens
just eat takeaway.com nv,restaurants,enxtam,amsterdam,netherlands,13775,groen jitse,wissink brent,,alphabet inc.,amazon.com services llc,apple pay limited,appreciate group plc,bank of china limited london branch,befimmo sa,burger king company llc,cardlytics inc.,centra foodstores limited,costa coffee,co-op foods,domino's pizza inc.,mcdonald's corporation,pizzaexpress limited,sainsbury's supermarkets ltd,takeaway.com asia b.v.,,,,,,vigreux corinne ,teerlink ronald ,palaniappan jambu ,frink lloyd d.,de schepper mieke s.,,,,
ubs group ag,diversified capital markets,swx,zurich,switzerland,119100,ermotti sergio,tuckner todd,70.0,alliancebernstein holding l.p.,artnet ag,banco bilbao vizcaya argentaria s.a.,bao viet securities joint stock company,bgc group inc.,blink charging co.,broadridge financial solutions inc.,computershare trust company national association,enka insaat ve sanayi a.s.,gitlab inc.,1834 investments limited,alpha trust mutual fund and alternative investment fund management s.a.,brigham resources llc,cantor fitzgerald income trust inc.,gain capital holdings inc.,ilpt bemidji llc,ilpt burlington llc,ilpt chesterfield llc,ilpt kyin llc,ilpt mahwah llc,,gahwiler lukas ,richardson julie g.,anderson jeremy david-bruce,hughes mark richard,wemmer dieter f.,hu zuliu ,wong kai yuan ,dudley william c.,rachou nathalie 
intermediate capital group plc,asset management and custody banks,lse,london,united kingdom,579,durteste benoit laurent,bicarregui david christopher,60.0,computershare investor services plc,,,,,,,,,,graftech finance inc.,graftech luxembourg ii s.à.r.l.,graftech switzerland s.a.,,,,,,,,rucker william john,durteste benoit laurent pierre,bicarregui david christopher michael,hensel-roth antje ,holmes virginia anne,leith rosemary ,lester matthew john,sykes andrew francis,nelligan michael p.,welton stephen 
unicredit spa,diversified banks,bit,milan,italy,73108,orcel andrea,porro stefano,60.0,amundi s.a.,cnp assurances sa,cnp unicredit vita s.p.a.,creactives spa,globe trade centre s.a.,incontra assicurazioni s.p.a.,mediobanca banca di credito finanziario s.p.a.,oil refineries ltd.,span d.d.,unicredit allianz assicurazioni s.p.a.,505 games s.p.a,acerinox s.a.,aeroporto guglielmo marconi di bologna s.p.a.,amplifon s.p.a.,anagold madencilik sanayi ve ticaret anonim sirketi,ansaldo energia s.p.a.,ariston holding n.v.,ariston thermo s.p.a.,asa srl,ascopiave s.p.a.,,orcel andrea ,andreotti lamberto ,tondi francesca angelo,carletti elena ,rigotti marco giuseppe maria,hedberg jeffrey alan,wolfgring alexander ,pierdicchi maria ,cariello vincenzo 
bank polska kasa opieki sa,diversified banks,wse,warsaw,poland,14645,skiba leszek,straczynski pawel,65.0,centrum kart sa,comp s.a.,mastercard incorporated,narodowy bank polski,powszechny zaklad ubezpieczen sa,visa inc.,w. p. carey inc.,,,,alupol packaging kety sp. z o.o.,amrest holdings se,amrest s.r.o.,amrest sp. z o.o.,arctic paper s.a.,artn sp. z o.o,asseco south eastern europe s.a.,bonus development spólka z ograniczona odpowiedzialnoscia spólka komandytowo-akcyjna,ccc s.a.,ciech s.a.,kozlowska–chyla beata ,blaszczyk joanna ,sadurska malgorzata ,kaczoruk stanislaw ryszard,glebikowska-michalak justyna ,kaszynski michal ,bigos-jaworowska sabina ,majcher marian ,izdebski marcin ,
powszechny zaklad ubezpieczen sa,multi_line insurance,wse,warsaw,poland,38279,kozlowska-chyla beata,,70.0,comp s.a.,hannover re (bermuda) ltd.,talex s.a.,,,,,,,,alior bank s.a.,bank polska kasa opieki s.a.,cyfrowy polsat s.a.,ebilet polska sp. z o.o.,echo investment s.a.,ispot.tv inc.,lot polish airlines s.a.,,,,jastrzebski robert ,gorecki pawel ,gornicka agata ,opolski krzysztof leopold,chludzinski marcin ,zaborowski maciej ,wierzbowski jozef ,sierpinski radoslaw ,kubicza marcin ,
vestas wind systems a/s,heavy electrical equipment,cpse,aarhus,denmark,29197,andersen henrik,smith hans,,american superconductor corporation,aukett swanke group plc,cadeler a/s,diab international ab,edc burgos wind power corporation,edda wind asa,gulf marine services plc,hexcel corporation,mersen s.a.,relesys a/s,abo wind ag,alternergy holdings corporation,aluar aluminio argentino s.a.i.c.,arise ab (publ),avangrid renewables llc,bord na móna plc,campo eolico ariano - cea srl,capital power corporation,casa dos ventos energias renováveis ltda.,clearway energy inc.,,sundstrom karl-henrik ,agerbo sussie dvinge,lisbjerg michael abildgaard,thorning-schmidt helle ,grant bruce harvey,berneke eva merete sofelde,jensen pia kirk,hosomi kentaro ,christensen claus skov
bridgepoint group plc,asset management and custody banks,lse,london,united kingdom,377,,jones adam,,equiniti limited,,,,,,,,,,,,,,,,,,,,jackson william n.,jones adam m.,norman archie j.,garcia-poveda angeles ,score tim ,mccall dame carolyn j.,taraporevala cyrus russi jal,,,
banco santander sa,diversified banks,bme,madrid,spain,212409,grisi checa hector,garcia-cantera jose,80.0,aegon ltd.,arnold worldwide llc,atento s.a.,aubay société anonyme,avepoint inc.,bank of shanghai co. ltd.,bank of shanghai co. ltd.,blue prism group limited,european investment bank,european investment fund,ab sagax (publ),acerinox s.a.,adif alta velocidad,aena s.m.e. s.a.,aercap ireland capital designated activity company,all iron re i socimi s.a.,allergy therapeutics iberica s.l.,ansaldo energia s.p.a.,aramis group sas,arca continental s.a.b. de c.v.,,grisi checa hector blas,alvarez alvarez jose antonio,carnegie-brown bruce neil,romana garcia belen ,summers lawrence henry,mato garcia-ansorena ramiro ,walkden pamela ann,botin-sanz de sautuola y o’shea francisco javier,bair sheila colleen 
lundin energy ab,renewable electricity,om,stockholm,sweden,262,fitzgerald daniel,hennie espen,,aker bp asa,conocophillips,equinor asa,lundin energy norway as,mitsui o.s.k. lines ltd.,ox2 ab (publ),skandinaviska enskilda banken ab (publ),,,,etrion corporation,international petroleum corporation,repsol s.a.,saras s.p.a.,,,,,,,skaugen grace reksten,heppenstall charles ashley ,bruzelius peggy b.,thomasen jakob ,lundin william a. w.,,,,,
svenska cellulosa sca ab,forest products,om,sundsvall,sweden,3300,larsson ulf,ewertz andreas,60.0,european investment bank,,,,,,,,,,delko s.a.,essity australasia,vinda international holdings limited,vinda paper industrial (h.k.) co. ltd.,,,,,,,boman par ,larsson ulf ,rydin bo ,milian thoralfsson barbara rose,gardshol annemarie ,lindqvist martin ,evrell lennart ,sundstrom anders ,åberg karl ,hakansson carina 
getinge ab,health care equipment,om,gothenburg,sweden,11098,perjos mattias,sandstrom lars,,aq group ab (publ),arjo ab (publ),euroclear sweden ab,hanza ab (publ),intensivecare s.p.a.,oem international ab (publ),,,,,arjo ab (publ),,,,,,,,,,malmquist johan ,perjos mattias ,bennet carl ,bygge johan ,wennborg cecilia daun,persson malin ,larsson ake ,friden barbro ,frohm dan ,brattborn fredrik 
orsted a/s,electric utilities,cpse,fredericia,denmark,8661,nipper mads,lerup daniel,65.0,cadeler a/s,edda wind asa,equinor asa,european investment bank,fugro n.v.,green hydrogen systems a/s,gulf marine services plc,hellenic cables holdings s.a.,innovate corp.,james fisher and sons plc,alphabet inc.,amazon.com inc.,basf a/s,danish energy agency,dominion energy inc.,octopus renewables infrastructure trust plc,,,,,,skole-sorensen lene ,wemmer dieter f.,vinther mogens ,gøbel benny ,bruun michael specht,lenoble philippe ,korsholm peter ,kildahl jorgen ,king julia elizabeth
qt group oyj,application software,hlse,espoo,finland,708,varelius juha,lintunen jouni,,,,,,,,,,,,hyundai motor company,lg electronics inc.,stellantis n.v.,video river networks inc.,zuhlke engineering ag,,,,,,ingman robert ,saarinen leena maria,marsio mikko ,valimaki mikko ,auramo marika ,heikkonen matti ,,,,
