name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
allreal holding ag,diversified real estate activities,swx,baar,switzerland,227,widrig stephan,frei marc,,areg.ch ag,zaptec asa,,,,,,,,,canton of zurich,generali (schweiz) holding ag,mll meyerlustenberger lachenal froriep ltd,switzerland,,,,,,,,board member,honegger ralph-thomas ,sieber andrea ,stenz thomas ,stöckli jürg ,steimer olivier ,spuhler peter c.,gmür philipp ,guelpa anja wyden
bellway plc,homebuilding,lse,newcastle upon tyne,united kingdom,3042,honeyman jason,adey keith,,link market services limited,nexus infrastructure plc,smartspace software plc,the mission group plc,,,,,,,,,,,,,,,,,,board member,tutte john frederick,honeyman jason michael,adey keith d.,mchoul ian philip,whitney sarah jane,caseberry jill ,,
scout24 ag,interactive media and services,xtra,munich,germany,828,hartmann tobias,schmelzer dirk,,,,,,,,,,,,autoscout24 gmbh,,,,,,,,,,,board member,albrecht hans-holger ,lutz frank h.,frank elke ,langheim thorsten ,lützner axel ,schwammlein andre ,miteva maya ,ouffata sohaila 
kingspan group plc,building products,ise,kingscourt,ireland,22000,murtagh gene,doherty geoff,,computershare investor services (ireland) limited,,,,,,,,,,,,,,,,,,,,,board member,massenberg jost a.,murtagh gene m.,murtagh eugene ,doherty geoff p.,shiels russell ,mccarthy gilbert ,hickey linda ,murphy senan 
sofina sa,multi-sector holdings,enxtbr,brussels,belgium,79,boel harold y.,gury clément,,alpha jwc ventures pte. ltd.,atlantic labs growth i gmbh & co. kg,chryscapital,everstone capital asia pte ltd,formation8 partners llc,general atlantic service company l.p.,gray ghost ventures,highland capital partners llc,institutional venture partners,invascent capital partners ii ltd,,,,,,,,,,,,board member,lancksweert dominique ,boel harold y. h.,stromberg charlotte ,d'alviella richard goblet,sioen michèle ,langenbucher anja ,soubie catherine ,boel nicolas 
alfa laval ab,industrial machinery and supplies and components,om,lund,sweden,20655,erixon tom,ekstrom fredrik,65.0,ab svensk exportkredit (publ),fabege ab (publ),ssab ab (publ),svenska handelsbanken ab (publ),,,,,,,delaval holding ab,delaval russia,kirby corporation,molson coors beverage company,public joint-stock company vyborg shipyard,ssab ab (publ),tetra pak inc.,tetra pak inc.,,,,board member,jönsson dennis ,rausing finn ,lange henrik ,rausing jorn ,nielsen henrik ,lantz bror garcía,wiinberg ulf arne,mauritsson ray 
worldline sa,transaction and payment processing services,enxtpa,puteaux,france,18259,grapinet gilles,lambertie gregory,60.0,alipay (china) internet technology company limited,amazon web services inc.,apple inc.,bancontact payconiq company sa/nv,global net lease operating partnership l.p.,google llc,mastercard incorporated,microsoft azure inc.,microsoft corporation,mobi724 global solutions inc.,abn amro incorporated,aegon bank n.v.,aldi süd dienstleistungs-se & co. ohg,aok systems gmbh,asos plc,avis rent a car system llc,banca nazionale del lavoro s.p.a.,brodericks limited,central bank for curaçao,citizens development business finance plc,,board member,bourigeaud bernard andre joseph,grapinet gilles ,schmucki daniel ,lothringen lorenz von habsburg,cardoso aldo ,pauget georges ,arditti gilles ,lagarde danielle 
wartsila oyj abp,industrial machinery and supplies and components,hlse,helsinki,finland,17553,agnevall hakan,berends arjen,,bts group ab (publ),eidesvik offshore asa,lexmark international inc.,nippon piston ring co. ltd.,nittan corporation,siili solutions oyj,tenable holdings inc.,,,,agl energy limited,associated british ports,bahamas power and light company ltd.,basin electric power cooperative,brazilian navy,bua cement plc,caribbean utilities company ltd.,carisbrooke shipping limited,clearway energy group llc,cma cgm s.a.,,board member,johnstone tom ,vehvilainen mika ,tuomela tiina marjukka,falk karin ,forssell johan ,bomba karen m.,rahmström mats ,engelstoft morten henrick
rightmove plc,interactive media and services,lse,milton keynes,united kingdom,700,svanstrom johan,dolan alison,,bcmglobal (uk) limited,link market services limited,,,,,,,,,,,,,,,,,,,,board member,fisher andrew ,svanstrom johan ,dolan alison ann,findlay andrew ,tilbian lorna mona,de rojas jacqueline ,tiwari amit ,sharma kriti 
randstad nv,human resource and employment services,enxtam,diemen,netherlands,43530,van't noordende alexander,vazquez jorge,,docebo inc.,micropole s.a.,tata consultancy services limited,,,,,,,,,,,,,,,,,,,board member,dekker wout ,dorjee frank franciscus,aris antoinette p.,auriol potier helene ,debroux laurence m.,´t hart cees c.,drost jeroen p.,
