Name,ISIN,IQ_COMPANY_ADDRESS,IQ_PRIMARY_INDUSTRY,IQ_EXCHANGE,IQ_CITY,IQ_COUNTRY_NAME,IQ_EMPLOYEES,IQ_CEO_NAME,IQ_CFO_NAME,IQ_SP_LC_LT,Supplier1,Supplier2,Supplier3,Supplier4,Supplier5,Supplier6,Supplier7,Supplier8,Supplier9,Supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
United Utilities Group PLC,GB00B39J2M42,"Haweswater House, Lingley Mere Business Park, Lingley Green Avenue, Great Sankey, Warrington, Cheshire, WA5 3LP, United Kingdom",Water Utilities,LSE,Warrington,United Kingdom,6179,"Beardmore, Louise","Aspin, Philip",,Achilles Information Ltd.,Aliaxis SA,Costain Group PLC,Equiniti Limited,European Investment Bank,Export Development Canada,Kirloskar Brothers Limited,Ricardo plc,Sapphire Utility Solutions Limited,,Copperleaf Technologies Inc.,United Utilities PLC,United Utilities Water Limited,Water Plus Group Limited,,,,,,,,Board Member,"Higgins, David H.","Beardmore, Louise ","Aspin, Philip Anthony","Rowe, Paulette ","Webb, Doug R.","Shailer, Kathleen Mary","Goligher, Alison J. P.","Butterworth, Liam David"
Anheuser Busch Inbev SA,BE0974293251,"Brouwerijplein 1, Leuven, Flemish Brabant, 3000, Belgium",Brewers,ENXTBR,Leuven,Belgium,167000,"Doukeris, Michel Dimitrios","Tennenbaum, Fernando",A-,AGI Greenpac Limited,Ambev S.A.,Ambev S.A.,Ardagh Metal Packaging S.A.,Ascential plc,Ball Corporation,Budweiser Brewing Company APAC Limited,"Canada Dry Ginger Ale, Incorporated",Capital Appreciation Limited,CI&T Inc,AB InBev Efes JSC,Ambev S.A.,Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi,Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi,Budweiser Brewing Company APAC Limited,Budweiser Brewing Company APAC Limited,Cervecería y Maltería Quilmes S.A.I.C.A. y G,"Constellation Brands, Inc.",CUB Pty Ltd,Delta Corporation Limited,,"Garcia, Claudio Moniz Barretto","Burns, Martha Michele","Van Damme, Alexandre ","Chalmers, Sabine ","de Spoelberch, Gregoire ","de Ways-Ruart, Arthur Paul Cornet","Lemann, Paulo Alberto","Dávila, Alejandro Santo Domingo","Motta, Nitin Nohria"
Galenica AG,CH0360674466,"Untermattweg 8, Bern, Bern, 3027, Switzerland",Health Care Distributors,SWX,Bern,Switzerland,7673,"Werner, Marc","Burkhard, Felix",,Coop Vitality Ag,Wihlborgs Fastigheter AB (publ),,,,,,,,,Coop Vitality Ag,,,,,,,,,,"Neuhaus, Markus R.","Jungo, Bertrand ","Jornod, Etienne ","Walde, Andreas ","Meier, Judith ","Bruderer, Pascale ","Zulauf, Jorg ","Peters, Solange ",,
Fuchs Petrolub SE,DE000A3E5D64,"Einsteinstraße 11, Mannheim, Baden-Württemberg, 68169, Germany",Commodity Chemicals,XTRA,Mannheim,Germany,6167,"Fuchs, Stefan","Adelt, Isabelle",,,,,,,,,,,,Fuchs Verwaltungsgesellschaft mbH,Qatar Navigation Q.P.S.C.,Rudolf Fuchs GMBH & Co,Rudolf Fuchs Kapitalanlagegesellschaft Mbh,,,,,,,"Loos, Christoph ","Fuchs, Susanne ","Fuchs, Manfred ","Neumann, Ingeborg ","Lehfeldt, Jens ","Stahlschmidt, Cornelia ","Steilemann, Markus ",,,
Proximus NV,BE0003810273,"Proximus Towers, Koning Albert ll-laan 27, Brussels, Brussels, 1030, Belgium",Integrated Telecommunication Services,ENXTBR,Brussels,Belgium,11662,"Boutin, Guillaume","Reid, Mark",BBB+,Amazon Digital Services LLC,Amdocs Limited,ATEME SA,"Couchbase, Inc.","DSP Group, Inc.",Edgeware AB (publ),"Etelix.com USA, LLC",European Investment Bank,Flowsparks NV,Retail Estates N.V.,Cohezio,Digi Communications N.V.,"Netflix, Inc.",,,,,,,,,"Boutin, Guillaume ","Vandenborre, Catherine ","Touraine, Agnes ","De Prycker, Martin ","de Gucht, Karel ","den hove, Luc Van","Rutten, Catherine ","Sonne, Joachim ","Ouassari, Ibrahim "
Alcon AG,CH0432492467,"Chemin de Blandonnet 8, Vernier, Geneva, Geneva, 1214, Switzerland",Health Care Supplies,SWX,Geneva,Switzerland,25000,"Endicott, David","Stonesifer, Timothy",BBB+,IRIDEX Corporation,Novartis AG,,,,,,,,,,,,,,,,,,,"Ball, F. Michael","Endicott, David J.","Cummings, Arthur B.","Grossman, D. Keith","Maw, Scott Harlan","May, Karen J.","Bleil, Lynn Dorsey","Glanzmann, Thomas H.","Poschel, Ines ","Spälti, Dieter "
La Francaise des Jeux SA,FR0013451333,"3-7 Quai du Point du Jour, Cedex, Boulogne-Billancourt, Ile-de-France, 92100, France",Casinos and Gaming,ENXTPA,Boulogne-Billancourt,France,3121,"Pallez, Stephane","Chaffard, Pascal",,"Barclays Bank PLC, Paris Branch",BRED Banque Populaire S.A.,Caisse d'Epargne Hauts de France,Caisse Régionale de Crédit Agricole Mutuel de Paris et d'Ile-de-France,Chez Wam,Crédit Agricole Corporate and Investment Bank Société Anonyme,Crédit Lyonnais S.A.,Euromillions.Co Ltd,Monext SAS,Neurones S.A.,French Treasury Office,,,,,,,,,,,"Girre, Xavier ","Lazare, Philippe ","Roussel, Olivier ","Dulac, Fabienne ","Lejbowicz, Corinne ","Doukhan, Ghislaine ","Trutt, Didier ","Lyon-Caen, Agnes ","Pirani, Philippe "
Eurazeo SE,FR0000121121,"1 rue Georges Berger, Paris, Ile-de-France, 75017, France",Multi-Sector Holdings,ENXTPA,Paris,France,19254,,"Branthomme, Laurence",,,,,,,,,,,,,,,,,,,,,,"Decaux, Jean-Charles ","Baviere, Christophe M.","Kadouch-Chassaing, William ","du Vignaux, Olivier Merveilleux","Roger, Bruno ","Akriche, Vivianne ","Flak, Sophie ","Millet, Olivier ","Aubut, Christophe ","Pallez, Stephane "
Kojamo Oyj,FI4000312251,"Mannerheimintie 168A, Helsinki, Uusimaa, 00300, Finland",Real Estate Operating Companies,HLSE,Helsinki,Finland,344,"Nieminen, Jani","Hjelt, Erik",,"Danske Bank A/S, Finland Branch",Hausia Oy,Jatke Lansi-Suomi Oy,OP Yrityspankki Oyj,SRV Yhtiöt Oyj,,,,,,,,,,,,,,,,"Aro, Esko Mikael","Mursula, Mikko ","Koutonen, Anne ","Von Stackelberg-Hammarén, Catharina ","Kauniskangas, Kari ","Anas, Annica ","Segal, Andreas ",,,
Rheinmetall AG,DE0007030009,"Rheinmetall Platz 1, Düsseldorf, North Rhine-Westphalia, 40476, Germany",Aerospace and Defense,XTRA,Düsseldorf,Germany,22640,"Papperger, Armin","Steinert, Dagmar",NR,European Investment Bank,"Global Net Lease Operating Partnership, L.P.",KfW,PL Elektronik GmbH,RADA Electronic Industries Ltd.,,,,,,Daimler Truck Fuel Cell GmbH & Co. KG,Embraer S.A.,German Armed Forces,,,,,,,,"Grillo, Ulrich ","Hay, Daniel ","Hannemann, Susanne ","Georgi, Andreas ","Mielke, Michael M.","Schmidt, Sven ","Muth, Dagmar ","Vennemann, Klaus-Gunter ","Draeger, Klaus ","Muller, Reinhard "
IMCD NV,NL0010801007,"Wilhelminaplein 32, Rotterdam, Zuid-Holland, 3072 DE, Netherlands",Trading Companies and Distributors,ENXTAM,Rotterdam,Netherlands,4549,"van der Slikke, Pieter C.","Kooijmans, Hans J.",,Hofseth BioCare ASA,,,,,,,,,,IMCD Group B.V.,,,,,,,,,,"Smalbraak, Janus ","Nanninga, Stephan Ronald","Eelman, Willem ","Hebert, Amy E.",,,,,,
Spirax-Sarco Engineering PLC,GB00BWFGQN14,"Charlton House, Cirencester Road, Cheltenham, Gloucestershire, GL53 8ER, United Kingdom",Industrial Machinery and Supplies and Components,LSE,Cheltenham,United Kingdom,10000,"Anderson, Nicholas","Patel, Nimesh",,Equiniti Limited,,,,,,,,,,McGill University,Spirax-Sarco Overseas Limited,US Navy,,,,,,,,"Pike, James Robert Provan ","Anderson, Nicholas J.","Patel, Nimesh Balvir","Kingston, Jane S.","Thompson, Kevin J.","Gillingwater, Richard Dunnell","France, Peter Ian","Johnstone, Caroline A.","Archon, Angela N.","Baroudel, Constance F."
Genus PLC,GB0002074580,"Matrix House, Basing View, Basingstoke, Hampshire, RG21 4DZ, United Kingdom",Biotechnology,LSE,Basingstoke,United Kingdom,3500,"Kokke, Jorgen","Henriksen, Alison",,"Caribou Biosciences, Inc.",Equiniti Limited,,,,,,,,,,,,,,,,,,,"Ferguson, Iain G. T.","Kokke, Jorgen ","Henriksen, Alison Jane","Wilson, Stephen David","Gray, Lysanne Mary","Knox, Lesley Mary Samuel","van der Broek, Lykele Jurrit","Chin, Jason William Karl",,
MTU Aero Engines AG,DE000A0D9PT0,"Dachauer Strasse 665, Munich, Bavaria, 80995, Germany",Aerospace and Defense,XTRA,Munich,Germany,11823,"Wagner, Lars","Kameritsch, Peter",NR,Aero Win Technology Corporation,Caverion Oyj,Daldrup & Söhne Aktiengesellschaft,Eisenwerk Erla GmbH,GKN Limited,"Oerlikon Balzers Coating USA, Inc.",,,,,Airbus S.A.S.,Detroit Chile S.A.,Embraer S.A.,Garden Reach Shipbuilders & Engineers Limited,General Electric Company,German Air Force,German Armed Forces,JetBlue Airways Corporation,Mitsubishi Aircraft Corporation,The Boeing Company,"Riske, Gordon ","Mailer, Josef ","Rauhut, Joachim ","Martens, Rainer ","Weissenberger-Eibl, Marion A.","Bortenlanger, Christine Maria","Heimerl, Anita ","Frijia, Daniele ","Wolf, Ute ","Sowa-Frank, Claudia "
Cofinimmo SA,BE0003593044,"Boulevard de la Woluwe 58, Woluwedal, Brussels, Brussels, 1200, Belgium",Health Care REITs,ENXTBR,Brussels,Belgium,160,"Hanin, Jean-Pierre","Kotarakos, Jean",BBB,Catella Valuation Advisors,CBRE Finland Oy,Colliers Real Estate Services Italia S.R.L.,Cushman & Wakefield Belgium,Cushman & Wakefield Commercial (Northern Ireland) Limited,Cushman & Wakefield Netherlands B.V.,"Cushman & Wakefield RE Consultants Spain, S.L.",Cushman & Wakefield Valuation France SA,"Cushman & Wakefield, Inc.","Jones Lang LaSalle Espana, S.A.",T Hofke NV,Alloheim Senioren-Residenzen SE,Amavir Valle de Egüés,Anheuser-Busch InBev SA/NV,Armonea NV,Aspria Holdings B.V.,Attendo AB (publ),Azurit Rohr Gmbh NatÜRlich Leben Im Alter,Belgium,Bergman Clinics B.V.,,"Hanin, Jean-Pierre ","Kotarakos, Jean ","Roels, Francoise ","Graulich, Benoit ","de Walque, Xavier ","Archer-Toper, Ines ","Monissen, Diana ","Chapelle, Olivier ","Gauchot, Maurice "
E.ON SE,DE000ENAG999,"BrUesseler Platz 1, Essen, North Rhine-Westphalia, 45131, Germany",Multi-Utilities,XTRA,Essen,Germany,71389,"Birnbaum, Leonhard","Spieker, Marc",BBB,2B Intelligent Soft S.A.,Castellum AB (publ),Castellum AB (publ),"Confluent, Inc.",Corinth Pipeworks S.A.,Echelon Corporation,eMan a.s.,HCL Technologies Limited,Hellenic Cables Holdings S.A.,International Business Machines Corporation,Origin Energy Limited,Urenco Limited,,,,,,,,,,"Clementi, Erich ","Schmitz, Christoph ","Schmitz, Andreas J. J.","Frohlich, Klaus ","Schulz, Fred ","May, Stefan ","de Segundo, Karen M. A.","Luha, Eugen-Gheorghe ","Wallbaum, Elisabeth "
Howden Joinery Group PLC,GB0005576813,"40 Portman Square, London, Greater London, W1H 6LT, United Kingdom",Trading Companies and Distributors,LSE,London,United Kingdom,12000,"Livingston, Andrew","Hayes, Paul",,Equiniti Limited,"JELD-WEN Holding, Inc.",LondonMetric Property Plc,Tritax Big Box REIT plc,,,,,,,,,,,,,,,,,"Ventress, Peter J.","Livingston, Andrew ","Hayes, Paul ","Cripps, Andrew Graham","Caddick, Karen ","White, Debra Jayne","Fowler, Louise ","Eperjesi, Louis Leslie Alexander",,
Telenor ASA,NO0010063308,"Snarøyveien 30, Fornebu, Akershus, 1360, Norway",Integrated Telecommunication Services,OB,Fornebu,Norway,14000,"Brekke, Sigve","Bachke, Tone",A-,24i Unit Media B.V.,Atea ASA,Azerion Group N.V.,Bigblu Norge AS,Celcomdigi Berhad,DiGi Telecommunications Sdn Bhd,DiGi Telecommunications Sdn Bhd,Eltel AB (publ),Eltel Networks AS,Eutelsat Communications S.A.,AINMT ASA,Allente Group AB,Celcomdigi Berhad,Celcomdigi Berhad,Celcomdigi Berhad,DiGi Telecommunications Sdn Bhd,DiGi Telecommunications Sdn Bhd,Grameenphone Ltd.,Norsk rikskringkasting AS,Total Access Communication Public Company Limited,,"Ingerø, Gyrid Skalleberg","Bastiansen, Nils Halvard","Roren, Marianne Bergmann","Vold, Irene ","Smistad, Esben ","Knook, Pieter Cornelis","Simonsen Joos, Astrid ","Bjornstad, Nina ","Geldmacher, Jan "
Croda International PLC,GB00BJFFLV09,"Cowick Hall, Snaith, East Yorkshire, Goole, North Humberside, DN14 9AA, United Kingdom",Specialty Chemicals,LSE,Goole,United Kingdom,5825,"Foots, Stephen","Burdett, Louisa",,Link Market Services Limited,LondonMetric Property Plc,,,,,,,,,Pfizer Inc.,,,,,,,,,,"Frew, Anita Margaret","Foots, Stephen Edward","Burdett, Louisa Sachiko","Ferguson, Jacqueline Patricia Christine","Ramsay, John ","Layden, Keith ","Cirillo, Roberto ","Kim, Julie ","Ouzren, Nawal ","Good, Christopher "
Imperial Brands PLC,GB0004544929,"121 Winterstoke Road, Bristol  BS3 2LL, United Kingdom",Tobacco,LSE,Bristol,United Kingdom,25700,"Bomhard, Stefan","Paravicini, Lukas",BBB,"Compañía de Distribución Integral Logista Holdings, S.A.",Crédit Agricole Corporate and Investment Bank Société Anonyme,Elval Hellenic Aluminium Industry S.A.,Equiniti Group Limited,Equiniti Limited,"Mativ Holdings, Inc.",Universal Corporation,,,,Auxly Cannabis Group Inc.,"Compañía de Distribución Integral Logista Holdings, S.A.",,,,,,,,,"Esperdy, Therese ","Bomhard, Stefan ","Paravicini, Lukas Jean-Baptiste","Clark, Susan ","Stanton, Jonathan ","Kunze-Concewitz, Robert ","Johnson, Alan ","de Saint Victor, Diane ","Edozien, Frances Ngozichukwuka Oluwatoyn","Gilchrist, Andrew D."
United Internet AG,DE0005089031,"Elgendorfer Strasse 57, Montabaur, Rhineland-Palatinate, 56410, Germany",Integrated Telecommunication Services,XTRA,Montabaur,Germany,10687,"Dommermuth, Ralph","Hartings, Ralf",,1&1 AG,Vodafone Group Public Limited Company,,,,,,,,,1&1 AG,IONOS Group SE,IONOS Group SE,ProfitBricks GmbH,,,,,,,"von Bismarck, Philipp ","Castillo-Olivares, Manuel Cubero del","Soffing, Andreas ","Weiß, Yasmin Mei-Yee","Rasch, Stefan ","Ruhwedel, Franca ",,,,
Ackermans & Van Haaren NV,BE0003764785,"Begijnenvest 113, Antwerp, Antwerp, 2000, Belgium",Construction and Engineering,ENXTBR,Antwerp,Belgium,21453,,"Bamelis, Tom",,Deep C Green Energy,Oryx Properties Limited,,,,,,,,,DEME Group NV,HORNBACH Baumarkt AG,,,,,,,,,"Bertrand, Luc ","Pestiaux, Julien ","Vandeputte, Victoria ","Willaert, Pierre ","van Haaren, Frederic ","Delen, Jacques ","van Baren, Thierry ","Debruyne, Marion ","Deckers, Bart ","Chandmal, Sonali "
Bollore SE,FR0000039299,"Tour Bolloré, 31-32, quai de Dion-Bouton, Cedex, Puteaux, Ile-de-France, 92811, France",Movies and Entertainment,ENXTPA,Puteaux,France,74972,"Bollore, Cyrille",,,Gaussin SA,Grit Real Estate Income Group Limited,Neste Oyj,Neurones S.A.,,,,,,,Financière du Perguet S.A.,,,,,,,,,,"Bollore, Cyrille M.C.","de Bailliencourt, Cédric ","Bollore, Yannick ","Thomazeau, Francois ","Bollore, Marie ","Bollore, Sebastien ","Merle-Beral, Celine ","Picciotto, Alexandre François Julien","Bollore, Chantal ","Alteirac, Nicolas "
Groep Brussel Lambert NV,BE0003797140,"Avenue Marnix 24, Brussels, Brussels, 1000, Belgium",Multi-Sector Holdings,ENXTBR,Brussels,Belgium,57,"Gallienne, Ian","Likin, Xavier",A+,,,,,,,,,,,Power Corporation of Canada,,,,,,,,,,"Desmarais, Paul Guy","Gallienne, Ian ","Touraine, Agnes ","Veyrat, Jacques ","Desmarais, Paul Guy","Frère, Baron Cédric","Gallienne-Frere, Segolene ","Genereux, Claude ","Soto, Alexandra ","Meaney, Mary "
Gecina SA,FR0010040865,"16 rue des Capucines, Paris, Ile-de-France, 75084, France",Office REITs,ENXTPA,Paris,France,474,"Ortega, Benat","Dutreuil, Nicolas",A-,Cabinet Besse S.A.,Catella AB (publ),"CBRE Group, Inc.",CBRE Valuation SAS,"Cushman & Wakefield, Inc.",Jones Lang LaSalle Incorporated,Lacourte Raquin Tatar,SIACI Saint Honoré SA,Valode & Pistre,,Arkema S.A.,Edenred France,Edenred SE,Electricité de France S.A.,Engie SA,ENSUP Group,Eurosic Sa,Foncière de Paris,Geciter SAS,Geodis SA,"Brunel, Jerome ","Ortega, Benat ","Reinmann Toper, Ines ","de Noyelle, Dominique Dudan – Deloche","Habra, Karim ","Stern, Jacques ","Gendron, Claude ","Danon-Arnaud, Laurence ","Gauthey, Gabrielle ","Le Gall, Carole "
Grand City Properties SA,LU0775917882,"37, Boulevard Joseph II, Luxembourg City  1840, Luxembourg",Real Estate Operating Companies,BATS-CHIXE,Luxembourg City,Luxembourg,810,"Zamir, Refael","Hadad, Idan",BBB+,Jones Lang Lasalle Gmbh,,,,,,,,,,,,,,,,,,,,"Windfuhr, Christian G.","Gabay, Yakir ","Runge-Brandner, Simone ","Jarczyk, Claudio ","Leininger, Markus J.","Maimon, David ",,,,
Vodafone Group PLC,GB00BH4HKS39,"Vodafone House, The Connection, Newbury, Berkshire, RG14 2FN, United Kingdom",Wireless Telecommunication Services,LSE,Newbury,United Kingdom,104000,"Della Valle, Margherita","Mucic, Luka",BBB,2B Intelligent Soft S.A.,Accord Synergy Limited,Actual Experience plc,Adeia Inc.,Adtran Networks SE,Amdocs Limited,American Tower Corporation,"Arlo Technologies, Inc.",Aukett Swanke Group Plc,"AvePoint, Inc.",Altech Netstar (Proprietary) Limited,DigiCore Holdings Limited,ecotel communication ag,Empresa Nacional de Telecomunicaciones S.A.,EROAD Limited,freenet AG,Iren SpA,"KVH Industries, Inc.",Liberty Global plc,mobilcom-debitel AG,,"Della Valle, Margherita ","Mucic, Luka ","da Costa Coimbra, Antonio Manuel","Nish, David Thomas","Moraleda Martinez, Maria Amparo","Demare, Michel ","Kerr, Deborah Linda","Carter, Stephen Andrew","Cunci, Delphine Ernotte"
Kerry Group PLC,IE0004906560,"Prince's Street, Tralee, Co. Kerry, V92 EH11, Ireland",Packaged Foods and Meats,ISE,Tralee,Ireland,23000,"Scanlon, Edmond","Larkin, Marguerite",BBB+,Jain Irrigation Systems Limited,MSM Malaysia Holdings Berhad,,,,,,,,,Arcos Dorados Holdings Inc.,"Kenco Group, Inc.",,,,,,,,,"Moran, Tom ","Scanlon, Edmond ","Larkin, Marguerite ","Behan, Gerry ","Rogers, Christopher Charles-Bevan","Gilvarry, Emer ","Brady, Hugh ","Louise Dorrepaal, Karin ","Wang, Jinlong ","Kerr, Michael T."
Londonmetric Property PLC,GB00B4WFW713,"One Curzon Street, London, East Lothian, W1J 5HB, United Kingdom",Industrial REITs,LSE,London,United Kingdom,35,"Jones, Andrew","Jessop, Jackie",,CBRE Limited,HSBC Ltd,Link Group Limited,Royal Institution of Chartered Surveyors,Savills (UK) Limited,"Wells Fargo Bank, National Association",Wells Fargo Corporation,,,,Air Link Systems Ltd.,Aldi Stores Limited,AM FRESH Group,Amazon UK Services Limited,Argos Limited,B&M Retail Limited,B&Q Limited,BP p.l.c.,CDS Superstores (International) Ltd,City Plumbing Ltd,"Elliott, Alistair ","Jones, Andrew Marc","McGann, Martin Francis","Fowlds, Robert ","Dean, James Fitzroy","Livingston, Andrew ","Lee Avery, Suzanne ","Patmore, Katerina Jane","Neubert, Suzy Anne Efua Gloria",
Wolters Kluwer NV,NL0000395903,"Zuidpoolsingel 2, PO Box 1030, Alphen aan den Rijn, Zuid-Holland, 2400 BA, Netherlands",Research and Consulting Services,ENXTAM,Alphen aan den Rijn,Netherlands,20921,"McKinstry, Nancy","Entricken, Kevin",BBB+,,,,,,,,,,,Aisin Corporation,"American Society of Nephrology, Inc.","Banco de Credito e Inversiones, S.A., Miami Branch",Beam Technologies Inc.,Cha Hollywood Medical Center LP,Ernst & Young LLP,Flex Ltd.,"Focused Photonics (Hangzhou), Inc.","Guangdong KinLong Hardware Products Co.,Ltd.",Legacy Health System Insurance Company,"Ziegler, Ann Elizabeth","de Kreij, Jack ","Horan, Jeanette A.","Vogelzang, Chris F. H. H.","Vandebroek, Sophie V.","Kersten, Heleen ",,,,
Assura PLC,GB00BVGBWW93,"3 Barrington Road, Altrincham, Cheshire, WA14 1GY, United Kingdom",Health Care REITs,LSE,Altrincham,United Kingdom,86,"Murphy, Jonathan","Marie Cottam, Jayne",,"Banco Santander, S.A.",Barclays PLC,"CBRE Group, Inc.",Cushman & Wakefield plc,HSBC Holdings plc,Jones Lang LaSalle Incorporated,National Westminster Bank Plc,,,,National Health Service (UK),Savile Medical Centre Limited,,,,,,,,,"Smith, John Edward Kitson","Murphy, Jonathan Stewart","Marie Cottam, Jayne ","Davies, Jonathan Owen","Fowler, Louise ","Marney Barrell, Samantha ","Cariaga, Emma ","Gordon, Noel ",,
Tryg A/S,DK0060636678,"Klausdalsbrovej 601, Ballerup, Capital Region of Denmark, 2750, Denmark",Property and Casualty Insurance,CPSE,Ballerup,Denmark,6836,"Brammer, Johan","Jensen, Barbara",,Coor Service Management Holding AB,,,,,,,,,,Danske Bank A/S,TryghedsGruppen smba,"Velliv, Pension & Livsforsikring A/S",,,,,,,,"Pertola, Jukka Pekka","Kragh, Steffen ","Hofman-Bang, Thomas ","Snejbjerg, Tina ","Thjomoe, Mari ","Ostlund, Carl-Viggo Johannes","Bakk, Elias ","Wistoft, Claus ","Dietzer, Charlotte ","Du, Mengmeng "
Sampo plc,FI0009003305,"Fabianinkatu 27, Helsinki, Uusimaa, 00100, Finland",Multi-line Insurance,HLSE,Helsinki,Finland,13272,"Magnusson, Torbjorn","Alsaker, Knut-Arne",A,Euroclear Finland Ltd,,,,,,,,,,Hastings Group Holdings Limited,If Skadeförsäkring Holding AB (publ),,,,,,,,,"Makinen, Antti ","Fagerholm, Jannica ","Ehrnrooth, Georg Johan Casimir","Murto, Risto ","Clausen, Christian ","Clutterbuck, Fiona Jane","Lamminen, Johanna ","Rauramo, Markus Heikki-Erdem","Langan, Steve ","Witschard, Annica "
Sodexo SA,FR0000121220,"255 Quai de la Bataille de Stalingrad, Issy-les-Moulineaux, Ile-de-France, 92130, France",Restaurants,ENXTPA,Issy-les-Moulineaux,France,422000,"Bellon, Sophie","Rolland, Marc",BBB+,13406300 Canada Inc.,Bellon S.A.,CGI Inc.,Checkit plc,Electrolux Professional AB (publ),Micropole S.A.,Newington Communications Limited,Nexi S.p.A.,Prime Fresh Limited,Sodexo Finance Designated Activity Company,"Amazon.com, Inc.",American Airlines Group Inc.,Austin Peay State University,"Beijing Byte Dance Telecommunications Co., Ltd.",BNP Paribas SA,British Airways Plc,Colorado School of Mines,Dulwich College International School Shanghai,Eastern Nazarene College,George Mason University,,"Bellon-Szabo, Nathalie ","Besson, Philippe ","de Marsac, Cécile Tandeau","de Chatillon, Jean-Baptiste Chasseloup","Messier, Luc J. F.","Bellon, François-Xavier ","Brougher, Françoise ","Martin, Cathy ","Laury-Deroubaix, Veronique "
Telefonica SA,ES0178430E18,"Distrito TelefOnica, Ronda de la ComunicaciOn, s/n, Madrid, Madrid, 28050, Spain",Integrated Telecommunication Services,BME,Madrid,Spain,103968,"Alvarez-Pallete Lopez, Jose","de Baquedano, Laura Abasolo",BBB-,"Acciona Generación Renovable, S.A.","Akamai Technologies, Inc.","Altia Consultores, S.A.",Amdocs Limited,American Tower Corporation,ATEME SA,"Atento Luxco 1, S.A.",Atento N.V.,Atento S.A.,"Banco Bilbao Vizcaya Argentaria, S.A.","Banco Bilbao Vizcaya Argentaria, S.A.","CaixaBank, S.A.",Claro NXT Telecomunicações S.A.,Entidad Pública Empresarial Red.es,"O2 Czech Republic, a.s.","Promotora de Informaciones, S.A.","Promotora de Informaciones, S.A.",Telefónica del Perú S.A.A.,Telefónica del Perú S.A.A.,Telefónica Deutschland Holding AG,,"Faine Casas, Isidro ","Abril Perez, Jose María","Echenique Landiribar, Jose Javier","Vila Boix, Angel ","Haas, Markus ","Mauad Gebara, Christian ","Loscher, Peter H.","Garci Blanco, Maria Luisa","Erskine, Peter Anthony"
EssilorLuxottica SA,FR0000121667,"1-6 rue Paul CEzanne, Paris, Ile-de-France, 75008, France",Health Care Supplies,ENXTPA,Paris,France,191144,"Milleri, Francesco","Grassi, Stefano",A,Arteria S.A.,Brunello Cucinelli S.p.A.,Bulgari S.p.A.,Burberry Limited,chanel Group,"Coach Services, Inc.","Disney Consumer Products, Inc.",Dolce & Gabbana Trademarks Srl,Eastman Kodak Company,Ferrari S.p.A.,Brunello Cucinelli S.p.A.,"National Vision Holdings, Inc.",Target Corporation,,,,,,,,,"du Saillant, Paul ","Biamonti, Jean-Luc ","Zappia, Andrea ","Bardin, Romolo ","Scocchia, Cristina ","Coisne-Roquette, Marie-Christine ","Gonzalo, Jose ","Piramal, Swati Ajay","von Siemens, Nathalie "
AAK AB (publ),SE0011337708,"Skrivaregatan 9, Malmö, Skåne County, 215 32, Sweden",Packaged Foods and Meats,OM,Malmö,Sweden,4000,"Westman, Johan","Bergendahl, Tomas",,Shineroad International Holdings Limited,,,,,,,,,,Brenntag SE,Progress Biotech B.V.,,,,,,,,,"Andersson, Patrik ","Andreen, Marta Schorling","Kirkegaard, Marianne ","Nilsson, Lena ","Alfredsson, David ","Saadane-Oaks, Fabienne ","Andersson, Nils-Johan ","Roberts, Ian ","Edvardsson, Annica ","Myhre, Mikael "
Pennon Group PLC,GB00BNNTLN49,"Peninsula House, Rydon Lane, Exeter, Devon, EX2 7HR, United Kingdom",Water Utilities,LSE,Exeter,United Kingdom,3000,"Davy, Susan","Boote, Paul",,Bristol Wessex Billing Services Ltd,European Investment Bank,Link Market Services Limited,,,,,,,,Bristol Water Holdings UK Limited,INEOS Runcorn (TPS) Holdings Limited,Water 2 Business Limited,Water 2 Business Limited,,,,,,,"Rider, Gill Ann","Davy, Susan Jane","Boote, Paul Michael","Evans, Iain Richard","Ighodaro, Claire Aimie Clara","Woodhouse, Loraine ","Butterworth, Jonathan ","Burwell, Dorothy M.",,
Geberit AG,CH0030170408,"Schachenstrasse 77, Rapperswil-Jona, St. Gallen, 8645, Switzerland",Building Products,SWX,Rapperswil-Jona,Switzerland,11183,"Buhl, Christian","Knechtle, Tobias",A+,"BOZHON Precision Industry Technology Co.,Ltd",Nolato AB (publ),S.J.S. Enterprises Limited,,,,,,,,Agrow Malaysia Sdn. Bhd.,,,,,,,,,,"Baehny, Albert M.","Zehnder-Lai, Eunice ","Ehrat, Felix R.","Koch, Bernadette ","Karlen, Werner ","Bachmann, Thomas Werner",,,,
